방향,N,Bias,RMSE,MAE,R,R2,기준격자,비고
고→저 (권장),2401,-0.142,0.387,0.281,0.932,0.869,0.25° (SMAP),고해상도→저해상도 면적집계 후 통계
저→고 (비교),38416,0.087,0.521,0.374,0.891,0.794,0.05° (NRT),저해상도→고해상도 bilinear 보간 후 통계
